"","text","favoriteCount","created","statusSource","period"
"325","  Congratulation for your win",0,"2022-12-11","Android",1
"326","  Mbappe is in the kitchen",0,"2022-12-11","Android",1
"327","  Congratulations",1,"2022-12-11","Android",1
"328","   After kane miss penarty",0,"2022-12-11","Android",1
"329","      please change this rafree world cup matches",0,"2022-12-11","Android",1
"330","    It can be
I dont watch cricket that much so no idea wink",0,"2022-12-11","Android",1
"331","  Good game men Mbappe muscle",0,"2022-12-11","iPhone",1
"332","We should all aspire to be as happy as Grizou is in this video ",1,"2022-12-11","Android",1
"333","  Best of luck mbappe wave your hand world cup twohearts",0,"2022-12-11","Android",1
"334"," what a historic win trophyto the French team in Qatar 2022  ",2,"2022-12-11","iPhone",1
"335","      Please review the Brazil x Croatia game and ch ",1,"2022-12-11","iPhone",1
"336","Vote for the Best sports content
gt Join the Best app  ",0,"2022-12-11","THEDOTBEST",1
"337","Vote for the Best sports content
gt Join the Best app  ",0,"2022-12-11","THEDOTBEST",1
"338","Join the Best app to share your Best sports content
gt ",0,"2022-12-11","BestTLDApp",1
"339","  Congrats France but you have big tough game within Morocco clapclapclap",2,"2022-12-11","Android",1
"340","    Cant agree more",1,"2022-12-11","iPhone",1
"341","  YOUNG KING crown",1,"2022-12-11","Android",1
"342"," Of course ",0,"2022-12-11","Android",1
"343","I see it in your eyes you want the cup of life
Now that the day is here were gotta go and get it
Do you really wa ",1,"2022-12-11","iPhone",1
"344"," France is more African than Morocco",0,"2022-12-11","iPhone",1
"345","   Doesnt suit tbh",0,"2022-12-11","Android",1
"346"," France made me smile with the win last nightmuscle",1,"2022-12-11","iPhone",1
"347","  The world cup belong to you guys",0,"2022-12-11","Android",1
"348","     Hello son",1,"2022-12-11","iPhone",1
"349","   Its Coming Home soccertrophy",0,"2022-12-11","Android",1
"350","  And do you whant to take this ratio or you can can be why we are going to do",0,"2022-12-11","iPhone",1
"351","  You can seche tes larmes sale fils de pute if you want",0,"2022-12-11","iPhone",1
"352"," Whys hardly any French talking about Antoine Griezmann He definitely doesnt get enough recogniti ",1,"2022-12-11","iPhone",1
"353","world champion 2022 after a 20 win against argentina back to back champion  ",0,"2022-12-11","Android",1
"354","   Bro is flexing the fact is country was saved by the sea  London got ",0,"2022-12-11","iPhone",1
"355"," Its Coming Home soccertrophy",0,"2022-12-11","Android",1
"356","    Unfortunately you write stories with agenda",0,"2022-12-11","Android",1
"357","No victory can be celebrated without music  Flicitations Les Bleus clapclap",1,"2022-12-11","Android",1
"358","  The Boytriumphtriumphtriumph",0,"2022-12-11","Android",1
"359","   Next game is African team vs african players",2,"2022-12-11","Android",1
"360","  Thanks to  turtle boy",0,"2022-12-11","Android",1
"361","  Its Coming Home soccertrophy",0,"2022-12-11","Android",1
"362","Still going strong soccer",0,"2022-12-11","Android",1
"363","      Appoint a Portuguese referee in the match betwe ",0,"2022-12-11","Android",1
"364","  Very honoured to get avquiainted I will continue to see what youre up to and look ",0,"2022-12-11","Android",1
"365","A little closer still to the ultimate dream says    France AllezLesBleus WorldCup2022 ",2,"2022-12-11","iPad",1
"366","     Scam project WCI and scam team",0,"2022-12-11","Android",1
"367","     Scam project WCI and scam team",0,"2022-12-11","Android",1
"368"," Here we go again Everything goes well and were happy in here Qatarwe dont wanna go home Lol",0,"2022-12-11","Android",1
"369","     Scam project WCI and scam team",0,"2022-12-11","Android",1
"370","     Scam project WCI and scam team",0,"2022-12-11","Android",1
"371","     Scam project WCI and scam team",0,"2022-12-11","Android",1
"372","      Please go watch FIFA on Netflix A must watch",0,"2022-12-11","iPhone",1
"373","     Scam project WCI and scam team",0,"2022-12-11","Android",1
"374","Morocco France and now Brandi Carlile
A good day
FIFAWorldCup2022 AllezLesBleus snl 
 ",1,"2022-12-11","iPhone",1
"375","     Scam project WCI and scam team",0,"2022-12-11","Android",1
"376","     Scam project WCI and scam team",0,"2022-12-11","Android",1
